compound,cas,group1,group2,group3,C,H,O,S,N,MW,anchor
"Dodecahydropyrido[1,2-b]isoquinolin-6-one",108873-36-5,Nitrogen Compound,Quinoline,,13,21,1,,1,207.3167,nonane
"Benzo[h]quinoline, 2,4-dimethyl-",000605-67-4,Nitrogen Compound,Quinoline,,15,13,,,1,207.2757,nonane
"4,6-Dimethyl-2-propylsulfanyl-nicotinamide",1000300-01-8,Nitrogen Compound,Sulfanyl-nicotinamide,,11,16,1,1,2,224.3264,nonane
"Methyl-4,6-bis(isopropylamino)-1,3,5-triazine-2-carboximidate",300587-35-3,Nitrogen Compound,Triazine,,9,17,,1,5,227.3335,nonane
"4-[5-(Furan-2-yl)-1H-1,2,4-triazol-3-yl]aniline",1000411-19-9,Nitrogen Compound,Triazoleaniline,,12,10,1,,4,226.2378,nonane
(.+/-.)-Uleine,019775-50-9,Nitrogen Compound,Uleine,,18,22,,,2,266.3874,nonane
"Benzene, 1-methyl-3-nitro-",99-08-1,Nitrogen Compound,,,7,7,2,,1,137.1377,nonane
9-Methyl-10-nitroanthracene,084457-22-7,Nitrogen Compound,,,15,11,2,,1,237.2577,nonane
3-Hydroxy-4-methoxybenzoic acid,000645-08-9,Oxygenate,Acid,Aromatic Acid,8,8,4,,,168.148,nonane
"Benzeneacetic acid, 4-hydroxy-3-methoxy-",000306-08-1,Oxygenate,Acid,Homovanillic acid,9,10,4,,,182.175,nonane
Dehydroabietic acid,001740-19-8,Oxygenate,Acid,Dehydroabietic acid,20,28,2,,,300.442,nonane
"Benzeneacetic acid, à-methoxy-, (ñ)-",007021-09-2,Oxygenate,Acid,Aromatic Acid,9,10,3,,,166.176,nonane
"Benzenepropanoic acid, à,4-dihydroxy-",306-23-0,Oxygenate,Acid,Aromatic Acid,9,10,4,,,182.175,nonane
4-n-Propylbenzoic acid,002438-05-3,Oxygenate,Acid,Aromatic Acid,10,12,2,,,164.204,nonane
"Benzoic acid, 2-hydroxy-6-methyl-",567-61-3,Oxygenate,Acid,Aromatic Acid,8,8,3,,,152.149,nonane
2-Biphenylcarboxylic acid,000947-84-2,Oxygenate,Acid,Carboxylic Acid,13,10,2,,,198.221,nonane
2-Biphenylcarboxylic acid,000947-84-2,Oxygenate,Acid,Carboxylic Acid,13,10,2,,,198.221,nonane
"2-Cyclopentene-1-tridecanoic acid, (S)-",029106-32-9,Oxygenate,Acid,Carboxylic Acid,18,32,2,,,280.452,nonane
Oleic Acid,000112-80-1,Oxygenate,Acid,Oleic Acid,18,34,2,,,282.468,nonane
n-Hexadecanoic acid,57-10-3,Oxygenate,Acid,Carboxylic Acid,16,32,2,,,256.43,nonane
"Propanoic acid, 2-methyl-",79-31-2,Oxygenate,Acid,Propanoic Acid,4,8,2,,,88.106,nonane
"3-Methyl-4-(methoxycarbonyl)hexa-2,4-dienoic acid",1000104-10-8,Oxygenate,Acid,Carboxylic Acid,9,12,4,,,184.191,nonane
Acetic acid,000064-19-7,Oxygenate,Acid,Acetic Acid,2,4,2,,,60.052,nonane
Propanoic acid,000079-09-4,Oxygenate,Acid,Propanoic Acid,3,6,2,,,74.079,nonane
"Acetic acid, (acetyloxy)-",13831-30-6,Oxygenate,Ester,Acid/Ester,4,6,4,,,118.088,nonane
Butanoic acid,000107-92-6,Oxygenate,Acid,Butanoic Acid,4,8,2,,,88.106,nonane
Pentanoic acid,109-52-4,Oxygenate,Acid,Carboxylic Acid,5,10,2,,,102.133,nonane
"Pentanoic acid, 4-oxo-",123-76-2,Oxygenate,Acid,Carboxylic Acid,5,8,3,,,116.116,nonane
"Pentanoic acid, 2-methyl-",97-61-0,Oxygenate,Acid,Carboxylic Acid,6,12,2,,,116.16,nonane
Hexanoic acid,142-62-1,Oxygenate,Acid,Carboxylic Acid,6,12,2,,,116.16,nonane
Octanoic acid,124-07-2,Oxygenate,Acid,Carboxylic Acid,8,16,2,,,144.214,nonane
Nonanoic acid,112-05-0,Oxygenate,Acid,Carboxylic Acid,9,18,2,,,158.241,nonane
"Butanoic acid, 2-methyl-",116-53-0,Oxygenate,Acid,Carboxylic Acid,5,10,2,,,102.133,nonane
"Butanoic acid, 2-oxo-",000600-18-0,Oxygenate,Acid,Carboxylic Acid,4,6,3,,,102.089,nonane
Crotonic acid,3724-65-0,Oxygenate,Acid,Carboxylic Acid,4,6,2,,,86.09,nonane
3-Butenoic acid,625-38-7,Oxygenate,Acid,Carboxylic Acid,4,6,2,,,86.09,nonane
"Propanoic acid, 2-hydroxy-2-methyl-",594-61-6,Oxygenate,Acid,Carboxylic Acid,4,8,3,,,104.105,nonane
Maltol,118-71-8,Oxygenate,Sugar,,6,6,3,,,126.111,nonane
"Propanoic acid, anhydride",123-62-6,Oxygenate,Acid,Anhydride,6,10,3,,,130.143,nonane
"Butanoic acid, 3-hydroxy-3-methyl-",625-08-1,Oxygenate,Acid,Carboxylic Acid,5,10,3,,,118.132,nonane
formic acid,,Oxygenate,Acid,,1,2,2,,,46.025,nonane
2-Propenoic acid,000079-10-7,Oxygenate,Acid,Carboxylic Acid,3,4,2,,,72.063,nonane
.alpha.-Methylcinnamic acid,001199-77-5,Oxygenate,Acid,Carboxylic Acid,10,10,2,,,162.188,nonane
p-Methylcinnamic acid,001866-39-3,Oxygenate,Acid,Carboxylic Acid,10,10,2,,,162.188,nonane
"benzoic acid, 4-hydroxy-3-propyl-",1000404-83-5,Oxygenate,Acid,Carboxylic Acid,10,12,3,,,180.203,nonane
"Benzeneacetic acid, .alpha.,4-dihydroxy-",001198-84-1,Oxygenate,Acid,,10,12,5,,,212.201,nonane
"Propanoic acid, 2,3-dihydroxy-",000473-81-4,Oxygenate,Acid,,3,6,4,,,106.077,nonane
Pinolenic acid,016833-54-8,Oxygenate,Acid,Pinolenic Acid,18,30,2,,,278.436,nonane
E-9-Tetradecenoic acid,050286-30-1,Oxygenate,Acid,,14,26,2,,,226.36,nonane
6-Octadecenoic acid,1000336-66-8,Oxygenate,Acid,,18,34,2,,,282.468,nonane
15-Hydroxypentadecanoic acid,004617-33-8,Oxygenate,Acid,,15,30,3,,,258.402,nonane
"Dodecanoic acid, TMS derivative",055520-95-1,Oxygenate,Acid,,15,32,2,,,244.419,nonane
7-Methoxy-piperonylicacid,000526-34-1,Oxygenate,Acid,Carboxylic Acid,9,8,5,,,196.158,nonane
Pimaric acid,000127-27-5,Oxygenate,Acid,Carboxylic Acid,20,30,2,,,302.458,nonane
"9,12-Octadecadienoic acid (Z,Z)-",000060-33-3,Oxygenate,Acid,,18,32,2,,,280.452,nonane
Linoelaidic acid,000506-21-8,Oxygenate,Acid,,18,32,2,,,280.452,nonane
"Myristic acid, TMS derivative",018603-17-3,Oxygenate,Acid,,12,36,2,,,212.418,nonane
"9(E),11(E)-Conjugated linoleic acid",000544-71-8,Oxygenate,Acid,,18,32,1,,,264.453,nonane
cis-13-Octadecenoic acid,013126-39-1,Oxygenate,Acid,,18,34,2,,,282.468,nonane
"2-Butenoic acid, (E)-",000107-93-7,Oxygenate,Acid,Carboxylic Acid,4,6,2,,,86.09,nonane
"Propanoic acid, 2-methyl-, anhydride",000097-72-3,Oxygenate,Acid,Anhydride,8,14,3,,,158.197,nonane
Isocrotonic acid,000503-64-0,Oxygenate,Acid,,4,6,2,,,86.09,nonane
2-Oxo-n-valeric acid,001821-02-9,Oxygenate,Acid,,5,8,3,,,116.116,nonane
2-Pentenoic acid,000626-98-2,Oxygenate,Acid,,5,8,2,,,100.117,nonane
"Cyclohexane, 1-methyl-4-(2-hydroxyethyl)-",004916-87-4,Oxygenate,Alcohol,1Ring,9,18,1,,,142.242,nonane
Bicyclo[2.2.1]hept-2-en-7-ol,053783-87-2,Oxygenate,Alcohol,2Ring,7,10,1,,,110.156,nonane
".delta.4-Androstene-3.beta.,17.beta.-diol",001156-92-9,Oxygenate,Alcohol,4Ring,19,30,2,,,290.447,nonane
"Allopregnane-3.alpha.,20.alpha.-diol",000566-58-5,Oxygenate,Alcohol,4Ring,21,36,2,,,320.517,nonane
"Androstan-17-one, 3-ethyl-3-hydroxy-, (5.alpha.)-",057344-99-7,Oxygenate,Alcohol,4Ring,21,34,2,,,318.501,nonane
9-Phenanthrenol,000484-17-3,Oxygenate,Alcohol,3Ring,14,10,1,,,194.233,nonane
"R-(-)-1,2-propanediol",004254-14-2,Oxygenate,Alcohol,Diol,3,8,2,,,76.095,nonane
Methyl Alcohol,000067-56-1,Oxygenate,Alcohol,Methanol,1,4,1,,,32.042,nonane
"1,2-Ethanediol",000107-21-1,Oxygenate,Alcohol,Diol,2,6,2,,,62.068,nonane
Glycerin,000056-81-5,Oxygenate,Alcohol,Glycerin,3,8,3,,,92.094,nonane
Isopropyl Alcohol,000067-63-0,Oxygenate,Alcohol,Isopropyl Alcohol,3,8,1,,,60.096,nonane
Propylene Glycol,000057-55-6,Oxygenate,Alcohol,Propylene Glycol,3,8,2,,,76.095,nonane
Prenol,000556-82-1,Oxygenate,Alcohol,Prenol,5,10,1,,,86.134,nonane
Propylene Glycol,000057-55-6,Oxygenate,Alcohol,Propylene Glycol,3,8,2,,,76.095,nonane
"1-Butanol, 3-methyl-",000123-51-3,Oxygenate,Alcohol,,5,12,1,,,88.15,nonane
"1-Butanol, 2-ethyl-",000097-95-0,Oxygenate,Alcohol,,6,14,1,,,102.177,nonane
1-Butanol,000071-36-3,Oxygenate,Alcohol,,4,10,1,,,74.123,nonane
"2,3-Butanediol",000513-85-9,Oxygenate,Alcohol,Diol,4,10,2,,,90.122,nonane
"1,2-Butanediol",000584-03-2,Oxygenate,Alcohol,Diol,4,10,2,,,90.122,nonane
"1,4-Butanediol",000110-63-4,Oxygenate,Alcohol,Diol,4,10,2,,,90.122,nonane
1-Hexanol,000111-27-3,Oxygenate,Alcohol,,6,14,1,,,102.177,nonane
2-Cyclohexen-1-ol,000822-67-3,Oxygenate,Alcohol,1Ring,6,10,1,,,98.145,nonane
1-Ethynylcyclopentanol,017356-19-3,Oxygenate,Alcohol,,7,10,1,,,110.156,nonane
1-Heptyn-3-ol,007383-19-9,Oxygenate,Alcohol,,7,12,1,,,112.172,nonane
"3-Cyclohexen-1-ol, 3-methyl-",053783-91-8,Oxygenate,Alcohol,1Ring,7,12,1,,,112.172,nonane
Cyclopentanol,96-41-3,Oxygenate,Alcohol,1Ring,5,10,1,,,86.134,nonane
3-pentanol,584-02-1,Oxygenate,Alcohol,,5,12,1,,,88.15,nonane
"1-Pentanol, 2-methyl-",105-30-6,Oxygenate,Alcohol,,6,14,1,,,102.177,nonane
"Cyclopentanol, 3-methyl-",18729-48-1,Oxygenate,Alcohol,1Ring,6,12,1,,,100.161,nonane
"Cyclopentanol, 2-methyl-",24070-77-7,Oxygenate,Alcohol,1Ring,6,12,1,,,100.161,nonane
Cyclohexanol,108-93-0,Oxygenate,Alcohol,1Ring,6,12,1,,,100.161,nonane
"3,4-Dimethylcyclohexanol",5715-23-1,Oxygenate,Alcohol,1Ring,8,16,1,,,128.215,nonane
3-Hepten-1-ol,10606-47-0,Oxygenate,Alcohol,,7,14,1,,,114.188,nonane
2-Heptanol,543-49-7,Oxygenate,Alcohol,,7,16,1,,,116.204,nonane
(5-Ethylcyclopent-1-enyl)methanol,036431-59-1,Oxygenate,Alcohol,1Ring,8,14,1,,,126.199,nonane
"1-Heptanol, 4-methyl-",000817-91-4,Oxygenate,Alcohol,,8,18,1,,,130.231,nonane
"1-Hexanol, 2-ethyl-",104-76-7,Oxygenate,Alcohol,,8,18,1,,,130.231,nonane
"3-Hexanol, 3-ethyl-",597-76-2,Oxygenate,Alcohol,,8,18,1,,,130.231,nonane
"Cyclohexanemethanol, 4-methylene-",001004-24-6,Oxygenate,Alcohol,1Ring,8,14,1,,,126.199,nonane
trans-(2-Ethylcyclopentyl)methanol,036258-08-9,Oxygenate,Alcohol,1Ring,8,16,1,,,128.215,nonane
2-Oxaadamantan-6-ol,058512-55-3,Oxygenate,Alcohol,1Ring,9,14,2,,,154.209,nonane
"1,4-Methanonaphthalen-9-ol, 1,2,3,4-tetrahydro-, stereoisomer",001198-20-5,Oxygenate,Alcohol,2Ring,11,12,1,,,160.216,nonane
"1-Octanol, 2-butyl-",003913-02-8,Oxygenate,Alcohol,,12,26,1,,,186.339,nonane
4-Methyl-dodecan-1-ol,086234-17-5,Oxygenate,Alcohol,,13,28,1,,,200.366,nonane
9H-Fluoren-9-ol,001689-64-1,Oxygenate,Alcohol,3Ring,13,10,1,,,182.222,nonane
"1-Dodecanol, 3,7,11-trimethyl-",006750-34-1,Oxygenate,Alcohol,,15,32,1,,,228.42,nonane
"1-Naphthalenemethanol, 1,2,3,4-tetrahydro-8-methyl-",036052-28-5,Oxygenate,Alcohol,2Ring,15,22,1,,,218.34,nonane
"1-Naphthalenemethanol, 1,2,3,4-tetrahydro-8-methyl-",036052-28-5,Oxygenate,Alcohol,2Ring,15,22,1,,,218.34,nonane
"5H-Dibenzo[a,c]cyclohepten-5-ol",080636-47-1,Oxygenate,Alcohol,3Ring,15,12,1,,,208.26,nonane
n-Pentadecanol,000629-76-5,Oxygenate,Alcohol,,15,32,1,,,228.42,nonane
(R)-(-)-(Z)-14-Methyl-8-hexadecen-1-ol,030689-78-2,Oxygenate,Alcohol,,17,34,1,,,254.458,nonane
2-Nonen-1-ol,31502-14-4,Oxygenate,Alcohol,,9,18,1,,,142.242,nonane
3-Cyclopentyl-1-propanol,767-05-5,Oxygenate,Alcohol,1Ring,8,16,1,,,128.215,nonane
2-Hydroxyfluorene,2443-58-5,Oxygenate,Alcohol,3Ring,13,10,1,,,182.222,nonane
"4-Hexen-1-ol, (Z)-",,Oxygenate,Alcohol,,6,12,1,,,100.161,nonane
"1-Butanol, 2-methyl-",,Oxygenate,Alcohol,,5,12,1,,,88.15,nonane
2-propen-1-ol,,Oxygenate,Alcohol,,3,6,1,,,58.08,nonane
"Benzenemethanol, .alpha.,4-dimethyl-",000536-50-5,Oxygenate,Alcohol,,9,12,1,,,136.194,nonane
"2-Methallyl alcohol, TMS derivative",025195-85-1,Oxygenate,Alcohol,,6,14,1,,,102.177,nonane
"2,6,10,15,19,23-Pentamethyl-2,6,18,22-tetracosatetraen-10,15-diol",1000432-43-7,Oxygenate,Alcohol,,30,54,2,,,446.76,nonane
"5H-Dibenzo[a,d]cyclohepten-5-ol, 10,11-dihydro-",001210-34-0,Oxygenate,Alcohol,,15,14,1,,,210.276,nonane
trans-Geranylgeraniol,024034-73-9,Oxygenate,Alcohol,,20,34,1,,,290.491,nonane
Thunbergol,025269-17-4,Oxygenate,Alcohol,,20,34,1,,,290.491,nonane
"9,19-Cyclolanostan-3-ol, acetate, (3.beta.)-",004575-74-0,Oxygenate,Alcohol,,32,54,2,,,470.782,nonane
"26,27-Dinorergosta-5,23-dien-3-ol, (3.beta.)-",035882-88-3,Oxygenate,Alcohol,,26,42,1,,,370.621,nonane
"p-Menth-8(10)-en-9-ol, cis-",015714-13-3,Oxygenate,Alcohol,,10,18,1,,,154.253,nonane
E-3-Pentadecen-2-ol,1000130-83-8,Oxygenate,Alcohol,,15,3,1,,,199.188,nonane
"Benz[j]aceanthrylen-2-ol, 1,2-dihydro-3-methyl-",003308-64-3,Oxygenate,Alcohol,,21,16,1,,,284.358,nonane
2-Fluorenylmethanol,1000433-81-2,Oxygenate,Alcohol,3Ring,14,12,1,,,196.249,nonane
"(R,Z)-2-Methyl-6-(4-methylcyclohexa-1,4-dien-1-yl)hept-2-en-1-ol",698365-10-5,Oxygenate,Alcohol,,15,24,1,,,220.356,nonane
"1-Cyclohexene-1-butanol, 2,6,6-trimethyl-",054344-91-1,Oxygenate,Alcohol,,13,24,1,,,196.334,nonane
"2-Methyl-4-(2,6,6-trimethylcyclohex-1-enyl)but-2-en-1-ol",062924-17-8,Oxygenate,Alcohol,,14,24,1,,,208.345,nonane
"3-Buten-2-ol, 3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",070172-00-8,Oxygenate,Alcohol,,14,24,1,,,208.345,nonane
"1,4-Methanoazulen-9-ol, decahydro-1,5,5,8a-tetramethyl-, [1R-(1.alpha.,3a.beta.,4.alpha.,8a.beta.,9S*)]-",000465-24-7,Oxygenate,Alcohol,,15,26,1,,,222.372,nonane
13-Tetradece-11-yn-1-ol,1000131-00-4,Oxygenate,Alcohol,,14,24,1,,,208.345,nonane
Isopimarol,001686-64-2,Oxygenate,Alcohol,,20,32,1,,,288.475,nonane
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1.alpha.,4a.beta.,10a.alpha.)]-",003772-55-2,Oxygenate,Alcohol,3Ring,20,30,1,,,286.459,nonane
"((1R,4aR,4bR,10aR)-7-Isopropyl-1,4a-dimethyl-1,2,3,4,4a,4b,5,6,10,10a-decahydrophenanthren-1-yl)methanol",000666-84-2,Oxygenate,Alcohol,,20,32,1,,,288.475,nonane
"2-Methyl-Z,Z-3,13-octadecadienol",1000130-90-5,Oxygenate,Alcohol,,19,36,1,,,280.496,nonane
n-Tetracosanol-1,000506-51-4,Oxygenate,Alcohol,,24,50,1,,,354.663,nonane
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",004602-84-0,Oxygenate,Alcohol,,15,26,1,,,222.372,nonane
5-Androstenetriol,004150-30-5,Oxygenate,Alcohol,,19,30,3,,,306.446,nonane
Citronellol,000106-22-9,Oxygenate,Alcohol,,10,20,1,,,156.269,nonane
Behenic alcohol,000661-19-8,Oxygenate,Alcohol,,22,46,1,,,326.609,nonane
"9-Heptadecene-4,6-diyn-8-ol, (Z)-",032768-90-4,Oxygenate,Alcohol,,17,24,1,,,244.378,nonane
1-Propanol,000071-23-8,Oxygenate,Alcohol,,3,8,1,,,60.096,nonane
L-.alpha.-Terpineol,010482-56-1,Oxygenate,Alcohol,,10,18,1,,,154.253,nonane
Homovanillyl alcohol,002380-78-1,Oxygenate,Alcohol,Homovanillyl alcohol,9,12,3,,,168.192,nonane
Glycidol,000556-52-5,Oxygenate,Alcohol,,3,6,2,,,74.079,nonane
Glutaraldehyde,111-30-8,Oxygenate,Carbonyl,Aldehyde,5,8,2,,,100.117,nonane
Glyceraldehyde,56-82-6,Oxygenate,Carbonyl,Aldehyde,3,6,3,,,90.078,nonane
"Benzaldehyde, 3-[4-(1,1-dimethylethyl)phenoxy]-",69770-23-6,Oxygenate,Carbonyl,Aldehyde,17,18,2,,,254.329,nonane
3-(2-Cyclopenten-1-yl)propanal,064504-73-0,Oxygenate,Carbonyl,Aldehyde,8,12,1,,,124.183,nonane
3-(2-Cyclopenten-1-yl)propanal,064504-73-0,Oxygenate,Carbonyl,Aldehyde,8,12,1,,,124.183,nonane
3-Hydroxy-4-methylbenzaldehyde,057295-30-4,Oxygenate,Carbonyl,Aldehyde,8,8,2,,,136.15,nonane
4-Hydroxy-2-methylbenzaldehyde,041438-18-0,Oxygenate,Carbonyl,Aldehyde,8,8,2,,,136.15,nonane
"1,4-Benzenedicarboxaldehyde, 2-methyl-",027587-17-3,Oxygenate,Carbonyl,Aldehyde,9,8,2,,,148.161,nonane
"Cinnamaldehyde, (E)-",14371-10-9,Oxygenate,Carbonyl,Aldehyde,9,8,1,,,132.162,nonane
"Benzaldehyde, 2,4,6-trimethyl-",000487-68-3,Oxygenate,Carbonyl,Aldehyde,10,12,1,,,148.205,nonane
"Benzaldehyde, 2,4,6-trimethyl-",000487-68-3,Oxygenate,Carbonyl,Aldehyde,10,12,1,,,148.205,nonane
"Benzaldehyde, 2-hydroxy-3-(2-propenyl)-",024019-66-7,Oxygenate,Carbonyl,Aldehyde,10,10,2,,,162.188,nonane
Benzenepropanal,000104-53-0,Oxygenate,Carbonyl,Aldehyde,10,12,1,,,148.205,nonane
Heptanal,000111-71-7,Oxygenate,Carbonyl,Aldehyde,7,14,1,,,114.188,nonane
"Heptanal, 2-methyl-",16630-91-4,Oxygenate,Carbonyl,Aldehyde,8,16,1,,,128.215,nonane
Pentanal,16630-91-5,Oxygenate,Carbonyl,Aldehyde,5,10,1,,,86.134,nonane
acetaldehyde,000075-07-0,Oxygenate,Carbonyl,Aldehyde,2,4,1,,,44.053,nonane
"Acetaldehyde, hydroxy-",141-46-8,Oxygenate,Carbonyl,Aldehyde,2,4,2,,,60.052,nonane
Glycolaldehyde,000141-46-8,Oxygenate,Carbonyl,Aldehyde,2,4,2,,,60.052,nonane
2-Butenal,004170-30-3,Oxygenate,Carbonyl,Aldehyde,4,6,1,,,70.091,nonane
"2-Butenal, (E)-",000123-73-9,Oxygenate,Carbonyl,Aldehyde,4,6,1,,,70.091,nonane
"2-Butenal, (Z)-",15798-64-8,Oxygenate,Carbonyl,Aldehyde,4,6,1,,,70.091,nonane
Butanedial,000638-37-9,Oxygenate,Carbonyl,Aldehyde,4,6,2,,,86.09,nonane
Succindialdehyde,638-37-9,Oxygenate,Carbonyl,Aldehyde,4,6,2,,,86.09,nonane
"2-Butenal, 2-methyl-",001115-11-3,Oxygenate,Carbonyl,Aldehyde,5,8,1,,,84.118,nonane
"2-Butenal, 3-methyl-",107-86-8,Oxygenate,Carbonyl,Aldehyde,5,8,1,,,84.118,nonane
Hexanal,000066-25-1,Oxygenate,Carbonyl,Aldehyde,6,12,1,,,100.161,nonane
"2,4-Heptadienal, (E,E)-",004313-03-5,Oxygenate,Carbonyl,Aldehyde,7,10,1,,,110.156,nonane
"2-Heptenal, (E)-",18829-55-5,Oxygenate,Carbonyl,Aldehyde,7,14,1,,,114.188,nonane
"5-Hexenal, 4-methylene-",17844-21-2,Oxygenate,Carbonyl,Aldehyde,7,10,1,,,110.156,nonane
"2-Hexenal, 2-methyl-",28467-88-1,Oxygenate,Carbonyl,Aldehyde,7,12,1,,,112.172,nonane
"2,4-Octadienal, (E,E)-",30361-28-5,Oxygenate,Carbonyl,Aldehyde,8,12,1,,,124.183,nonane
"2,4-Decadienal, (E,E)-",25152-84-5,Oxygenate,Carbonyl,Aldehyde,10,16,1,,,152.237,nonane
"[1,1'-Biphenyl]-4-carboxaldehyde",3218-36-8,Oxygenate,Carbonyl,Aldehyde,13,10,1,,,182.222,nonane
cis-11-Hexadecenal,53939-28-9,Oxygenate,Carbonyl,Aldehyde,16,31,1,,,239.423,nonane
E-14-Hexadecenal,330207-53-9,Oxygenate,Carbonyl,Aldehyde,16,30,1,,,238.415,nonane
"13-Octadecenal, (Z)-",58594-45-9,Oxygenate,Carbonyl,Aldehyde,18,34,1,,,266.469,nonane
"Benzaldehyde, 4-methyl-",104-87-0,Oxygenate,Carbonyl,Aldehyde,8,8,1,,,120.151,nonane
"Benzaldehyde, 2-methyl-",529-20-4,Oxygenate,Carbonyl,Aldehyde,8,8,1,,,120.151,nonane
"Benzeneacetaldehyde, .alpha.,2,5-trimethyl-",52417-50-2,Oxygenate,Carbonyl,Aldehyde,11,14,1,,,162.232,nonane
"Benzaldehyde, 4-(1-methylethyl)-",122-03-2,Oxygenate,Carbonyl,Aldehyde,10,12,1,,,148.205,nonane
Formaldehyde,,Oxygenate,Carbonyl,Aldehyde,1,2,1,,,30.026,nonane
"1,2-Cyclopentanedione",3008-40-0,Oxygenate,Carbonyl,Cyclopentanedione,5,6,2,,,98.101,nonane
"1,3-Cyclopentanedione",3859-41-4,Oxygenate,Carbonyl,Cyclopentanedione,5,6,2,,,98.101,nonane
"Cyclopent-4-ene-1,3-dione",930-60-9,Oxygenate,Carbonyl,Cyclopentenedione,5,4,2,,,96.085,nonane
Cyclopentanone,120-92-3,Oxygenate,Carbonyl,Cyclopentanone,5,8,1,,,84.118,nonane
"1,2-Cyclopentanedione, 3-methyl-",765-70-8,Oxygenate,Carbonyl,Cyclopentenedione,6,8,2,,,112.128,nonane
3-Ethylcyclopentanone,10264-55-8,Oxygenate,Carbonyl,Cyclopentanone,7,12,1,,,112.172,nonane
3-Ethenyl-3-methylcyclopentanone,49664-66-6,Oxygenate,Carbonyl,Cyclopentanone,8,12,1,,,124.183,nonane
"Cyclopentanone, 2-methyl-",1120-72-5,Oxygenate,Carbonyl,Cyclopentanone,6,10,1,,,98.145,nonane
"Cyclopentanone, 3-methyl-",1757-42-2,Oxygenate,Carbonyl,Cyclopentanone,6,10,1,,,98.145,nonane
"Cyclopentanone, 2,5-dimethyl-",4041-09-2,Oxygenate,Carbonyl,Cyclopentanone,7,12,1,,,112.172,nonane
"Cyclopentanone, 2,4-dimethyl-",1121-33-1,Oxygenate,Carbonyl,Cyclopentanone,7,12,1,,,112.172,nonane
"Cyclopentanone, 2,4,4-trimethyl-",4694-12-6,Oxygenate,Carbonyl,Cyclopentanone,8,14,1,,,126.199,nonane
"Cyclopentanone, 2,2,5-trimethyl-",4573-09-5,Oxygenate,Carbonyl,Cyclopentanone,8,14,1,,,126.199,nonane
"Cyclopentanone, 2-ethyl-",4971-18-0,Oxygenate,Carbonyl,Cyclopentanone,7,12,1,,,112.172,nonane
(R)-(+)-3-Methylcyclopentanone,006672-30-6,Oxygenate,Carbonyl,Cyclopentanone,6,10,1,,,98.145,nonane
"4-Cyclopentene-1,3-dione",930-60-9,Oxygenate,Carbonyl,Cyclopentenedione,5,4,2,,,96.085,nonane
2-Cyclopenten-1-one,930-30-3,Oxygenate,Carbonyl,Cyclopentenone,5,6,1,,,82.102,nonane
"2-Cyclopenten-1-one, 2-hydroxy-",10493-98-8,Oxygenate,Carbonyl,HydroxyCyclopentenone,5,6,2,,,98.101,nonane
"2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-",21835-01-8,Oxygenate,Carbonyl,HydroxyCyclopentenone,7,10,2,,,126.155,nonane
"2-Cyclopentene-1,4-dione",000930-60-9,Oxygenate,Carbonyl,Cyclopentenedione,5,4,2,,,96.085,nonane
"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",80-71-7,Oxygenate,Carbonyl,HydroxyCyclopentenone,6,8,2,,,112.128,nonane
"2-Cyclopenten-1-one, 2-methyl-",001120-73-6,Oxygenate,Carbonyl,Cyclopentenone,6,8,1,,,96.129,nonane
"2-Cyclopenten-1-one, 3-methyl-",002758-18-1,Oxygenate,Carbonyl,Cyclopentenone,6,8,1,,,96.129,nonane
"2-Cyclopenten-1-one, 2,3-dimethyl-",001121-05-7,Oxygenate,Carbonyl,Cyclopentenone,7,10,1,,,110.156,nonane
"2-Cyclopenten-1-one, 3,4-dimethyl-",30434-64-1,Oxygenate,Carbonyl,Cyclopentenone,7,10,1,,,110.156,nonane
"2-Cyclopenten-1-one, 3,4,4-trimethyl-",,Oxygenate,Carbonyl,Cyclopentenone,8,12,1,,,124.183,nonane
"2-Cyclopenten-1-one, 2,3,4-trimethyl-",,Oxygenate,Carbonyl,Cyclopentenone,8,12,1,,,124.183,nonane
"2-Cyclopenten-1-one, 2,3,4,5-tetramethyl-",,Oxygenate,Carbonyl,Cyclopentenone,9,14,1,,,138.21,nonane
2-Butyl-2-cyclopentenone,,Oxygenate,Carbonyl,Cyclopentenone,9,14,1,,,138.21,nonane
"2-Cyclopenten-1-one, 3-(1-methylethyl)-",1619-28-9,Oxygenate,Carbonyl,Cyclopentenone,8,12,1,,,124.183,nonane
3-Methyl-2-propylcyclopent-2-en-1-one,,Oxygenate,Carbonyl,Cyclopentenone,9,14,1,,,138.21,nonane
"2-Cyclopenten-1-one, 3-ethyl-",005682-69-9,Oxygenate,Carbonyl,Cyclopentenone,7,10,1,,,110.156,nonane
"2-Cyclopenten-1-one, 2-(4-methyl-2-furyl)-",21149-13-3,Oxygenate,Carbonyl,Cyclopentenone,10,10,2,,,162.188,nonane
2-Ethyl-3-methylcyclopent-2-en-1-one,,Oxygenate,Carbonyl,Cyclopentenone,8,12,1,,,124.183,nonane
